"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1964","8","02/22/1964","2","NY","New York","73","1791","93","34","119","505","1040"
"1964","9","02/29/1964","7","TX","Fort Worth","4","91","9","3","6","29","44"
"1964","11","03/14/1964","7","TX","San Antonio","8","103","7","3","5","36","52"
"1964","13","03/28/1964","3","OH","Dayton","0","97","8","3","7","22","57"
"1964","13","03/28/1964","3",NA,NA,"0","24","3","1","1","6","13"
"1964","14","04/04/1964","2","NY","Albany","1","40","4","1","2","8","25"
"1964","16","04/18/1964","1","MA","Somerville","1","12","1","0","0","1","10"
"1964","16","04/18/1964","4","IA","Des Moines","3","55","2","1","6","8","38"
"1964","18","05/02/1964","9","CA","Los Angeles","16","558","55","20","35","161","287"
"1964","19","05/09/1964","7","TX","El Paso","2","35","7","2","4","9","13"
"1964","19","05/09/1964","8","CO","Colorado Springs","2","24","2","0","1","5","16"
"1964","24","06/13/1964","4","NE","Lincoln","1","35","0","0","5","8","22"
"1964","24","06/13/1964","9","CA","San Diego","2","93","10","4","7","25","47"
"1964","27","07/04/1964","1","MA","Somerville","1","15","0","0","0","1","14"
"1964","27","07/04/1964","3","IN","South Bend","3","39","2","0","2","8","27"
"1964","28","07/11/1964","1","CT","Waterbury","0","25","0","0","0","7","18"
"1964","29","07/18/1964","1","MA","Somerville","2","8","0","0","0","1","7"
"1964","30","07/25/1964","3","IN","Evansville","0","35","2","1","1","9","22"
"1964","31","08/01/1964","3","OH","Cincinnati","3","168","13","6","15","36","98"
"1964","32","08/08/1964","1","MA","Fall River","1","20","0","0","1","6","13"
"1964","32","08/08/1964","2","NY","Albany","1","37","4","0","1","9","23"
"1964","32","08/08/1964","3","OH","Cincinnati","5","190","9","7","10","45","119"
"1964","32","08/08/1964","3",NA,NA,"0","38","4","3","1","14","16"
