"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1978","22","06/03/1978","3","OH","Akron","0","63","1","7","2","16","37"
"1978","26","07/01/1978","2","NJ","Trenton","4","28","1","1","2","8","16"
"1978","39","09/30/1978","6","TN","Memphis","2","119","1","3","11","38","66"
"1979","7","02/17/1979","8","NM","Albuquerque","3","58","2","3","10","17","26"
"1979","8","02/24/1979","9","CA","San Francisco","1","163","11","6","12","33","101"
"1979","12","03/24/1979","4","MN","Saint Paul","1","58","3","1","4","12","38"
"1979","24","06/16/1979","7","TX","Dallas","2","174","3","14","15","42","100"
"1979","30","07/28/1979","8","NV","Las Vegas","4","56","2","4","7","15","28"
"1979","33","08/18/1979","8","AZ","Phoenix","2","117","3","4","10","35","65"
"1979","34","08/25/1979","1","CT","New Haven","1","51","5","1","3","13","29"
"1979","43","10/27/1979","3","IN","Fort Wayne","7","49","2","4","5","11","27"
"1980","15","04/12/1980","9","WA","Spokane","3","51","2","2","3","9","35"
"1980","24","06/14/1980","4","MN","Minneapolis","2","84","2","3","6","22","51"
"1980","37","09/13/1980","3","OH","Cleveland","3","173","10","7","9","48","99"
"1981","13","04/04/1981","3","IL","Peoria","9","52","4","2","1","13","32"
"1981","19","05/16/1981","3","OH","Cleveland","2","163","4","6","12","42","99"
"1981","48","12/05/1981","6","TN","Nashville","5","154","4","4","9","43","94"
"1982","2","01/16/1982","8","NV","Las Vegas","2","75","4","5","6","19","41"
"1982","5","02/06/1982","3","WI","Milwaukee","3","140","4","3","7","26","100"
"1982","7","02/20/1982","2","NJ","Camden","1","39","4","0","4","11","20"
"1982","12","03/27/1982","9","CA","Glendale","1","25","0","0","1","4","19"
"1982","24","06/19/1982","3","MI","Detroit","5","282","5","12","37","77","151"
